claim_id,manuscript_claim,evidence_status,decisive_artifact,decisive_metric,allowed_scope,excluded_stronger_claim
C01,"Exact natural K12 is a principal direct causal mediator of condition-specific monitor movement",held-out_confirmatory,results/day-59/chameleon-confirmation-summary.json,"natural-effect recovery 0.779/0.760; exact identity 1.0",one released checkpoint; 11 trained concepts,"K12 is the complete natural endpoint or a universal minimal circuit"
C02,"The principal sufficient K12 attention operation is a joint source-side K/V rewrite read by target-natural response queries",prospectively_confirmed,results/day-60/qkv-source-factorial-summary.json,"KV probe recovery 0.819/0.841 and K12 recovery 0.768/0.778; only proper subset qualifying",frozen full-prefix factor intervention,"Q is irrelevant; V alone suffices; the factorization identifies parameter origin"
C03,"Donor Q materially completes the KV operation",prospectively_confirmed,results/day-60/qkv-source-factorial-summary.json,"QKV improves KV; material three-way interaction",same factor panel,"the computation is strictly Q-independent"
C04,"The informative K/V source is distributed across named-concept and trigger/other regions",prospectively_confirmed,results/day-60/qkv-source-factorial-summary.json,"region worst-case scores 0.351 and 0.264; monitoring language 0",frozen atomic source regions,"one source span contains an additive complete code"
C05,"K12 plus the other 52 tail-attention heads closes about 94% of the natural endpoint",held-out_confirmatory,results/day-59/chameleon-confirmation-summary.json,"joint recovery 0.935/0.944; full tail 1.0",layers 9-12 tail-attention intervention,"the other 52 heads are a compact or individually localized circuit"
C06,"The K/V-to-K12-to-monitor mechanism is acquired",held-out_cross_checkpoint,results/day-59/precursor-acquisition-summary.json,"all precursor/Chameleon norm ratios <= 0.0812",exact precursor and matched response tokens,"all monitoring-conditioned representations are absent in the precursor"
C07,"No tested whole attention or MLP branch is a compact upstream controller",prospective_bounded_scan,results/day-61/source-state-mediation-summary.json,"0 compact branches qualify; residual boundaries 0-9 qualify",37 frozen candidates at informative source positions,"no neuron or smaller distributed combination could be sufficient"
C08,"Acquisition is localized primarily to early representation-building blocks 0-8",coarse_opened_panel_localization,results/day-62/checkpoint-hybridization-summary.json,"worst-endpoint loss 0.7228; classifier primary:early_representation",one timeboxed coarse parameter hybridization,"one exact early layer or parameter subset has been identified"
C09,"Total evasion and reciprocal exact-K12 effects are positive across all 11 trained concepts",prospectively_gated_corrected_endpoint,results/day-70/endpoint-correction-summary.json,"native and broad: 11/11 lower 95% > 0 for total/recovery/induction",released score; native and content-disjoint broad panels,"semantic generalization to concepts absent from fine-tuning"
C10,"The formal 9/11 threshold gate failed at 8/11",negative_preregistered_result,results/day-67/title-closure-summary.json,"8/11 at both nominal thresholds",old irrelevant-trigger/raw-margin threshold definition,"the old gate passed or can be retroactively changed"
C11,"The 8/11 binary result does not imply absent causal effects in the remaining concepts",prospectively_gated_endpoint_audit,results/day-70/endpoint-correction-summary.json,"all-caps ceiling; German baseline mismatch; literature floor; all continuous intervals > 0",correct released score and no-trigger operational baseline,"threshold behavior is irrelevant or guaranteed at every operating point"
C12,"No unseen-concept semantic-operation claim was established",negative_qualification,results/day-62/qualification-calibration-summary.json,"0/3 reciprocal concept pairs qualify; final panel unopened",six new concepts and three frozen pairs,"the mechanism generalizes to unseen concept names"
